accession,group,genome_size_mb,gc_content,gene_count,avg_gene_len,te_count,gc3
acidophile_NC_007598,acidophile,0.017667,46.61232806928171,13,876.3846153846154,0,0.5071754034717642
acidophile_NC_002944,acidophile,4.829781,69.29860794930454,4523,921.64,55,0.8405928844124938
acidophile_NC_002953,acidophile,2.799802,32.85035870393692,2685,996.72,12,0.2425630164221442
acidophile_NC_007599,acidophile,0.017977,46.5261167046782,13,876.3846153846154,0,0.5041809940882396
acidophile_NC_007601,acidophile,0.013698,32.5302963936341,13,791.6923076923077,0,0.25878268270345156
acidophile_NC_007602,acidophile,0.155745,37.79061928151787,102,829.65,0,0.3100472952897533
acidophile_NC_007608,acidophile,0.126697,47.40996235112117,158,644.16,72,0.46991641145341156
acidophile_NC_007615,acidophile,0.018871,49.53632557893064,19,864.6315789473684,0,0.4890467052701741
acidophile_NC_007597,acidophile,0.033656,26.776800570477775,16,921.5625,0,0.10523786963514296
acidophile_NC_007600,acidophile,0.013731,30.048794698128322,13,791.6923076923077,0,0.19317663876012522
acidophile_NC_007616,acidophile,0.017036,49.97065038741489,18,790.8333333333334,1,0.5032059625621228
acidophile_NC_007603,acidophile,0.046219,44.282654319652096,75,554.08,0,0.4597298298652367
mesophile_NC_007682,mesophile,0.056634,49.426139774693645,68,697.0147058823529,11,0.5229593561905265
mesophile_NC_007683,mesophile,0.036392,34.44987909430644,38,742.5,0,0.23504390269432213
mesophile_NC_007678,mesophile,0.035505,57.94113505140122,28,995.0714285714286,1,0.6960666644119404
mesophile_NC_007688,mesophile,0.015698,32.1123710026755,13,862.8461538461538,0,0.2571364765587848
mesophile_NC_007689,mesophile,0.015966,33.608918952774644,13,881.2307692307693,0,0.22405963717059107
mesophile_NC_007684,mesophile,0.039049,36.59760813337089,39,784.2307692307693,0,0.2536164688995443
mesophile_NC_003551,mesophile,1.694969,61.15917164266721,1795,844.95,1,0.7238210123879247
mesophile_NC_007686,mesophile,0.016624,36.99470644850818,12,930.1666666666666,0,0.35145974734546054
mesophile_NC_007681,mesophile,1.767403,27.633708893783705,1558,1033.56,10,0.13448334570367648
mesophile_NC_007690,mesophile,0.015892,27.71205638056884,13,882.0769230769231,0,0.1288603103731077
mesophile_NC_007692,mesophile,0.019278,37.28602552131964,13,875.5384615384615,0,0.3321802669778897
mesophile_NC_007699,mesophile,0.01767,38.845500848896435,13,876.2307692307693,0,0.33544818372688573
mesophile_NC_007698,mesophile,0.019438,38.28068731350962,13,875.0769230769231,0,0.34097231937827127
mesophile_NC_007702,mesophile,0.016055,24.727499221426346,13,857.7692307692307,0,0.11036677888913929
mesophile_NC_007703,mesophile,0.016362,36.21806625106955,13,877.6153846153846,0,0.2570924493205905
mesophile_NC_007704,mesophile,0.016357,37.794216543375924,13,877.1538461538462,0,0.3062077975485837
mesophile_NC_007694,mesophile,0.019403,41.09158377570479,13,873.8461538461538,0,0.3368064537978295
mesophile_NC_007700,mesophile,0.019202,37.82939277158629,13,875.0769230769231,0,0.3345815581128725
mesophile_NC_007695,mesophile,0.016788,38.22968787228973,13,875.3076923076923,0,0.3178445215940775
mesophile_NC_007691,mesophile,0.016728,47.118603538976565,13,877.0769230769231,0,0.48410786851033705
mesophile_NC_007677,mesophile,3.551823,66.21672870523109,2972,1017.48,66,0.8481278542220058
mesophile_NC_007715,mesophile,0.01081,47.77058279370953,14,450.85714285714283,0,0.5493973759963242
mesophile_NC_007701,mesophile,0.0155,24.935483870967744,13,858.4615384615385,0,0.1279811587585685
mesophile_NC_007714,mesophile,0.02724,44.66226138032305,34,642.5,7,0.4616980750535986
mesophile_NC_007716,mesophile,0.706569,26.88626305428061,645,872.47,20,0.17289158464311985
mesophile_NC_007713,mesophile,0.083306,48.881233044438574,114,509.23,9,0.44011248598558206
mesophile_NC_007712,mesophile,4.171146,54.69899639091991,4832,746.19,142,0.6266357898868563
mesophile_NC_007705,mesophile,4.940217,63.70129085422766,4467,892.08,634,0.756640559751583
