assembly_id,organism,environment,genome_size_mb,gc_content,gene_count,te_count,avg_gene_length,gc3
GCF_055392855.1,Thermoproteus thermophilus (crenarchaeotes),thermophile,1.755389,57.396964433524424,1976,0,1701.9574898785424,0.6119155875145738
GCF_055392585.1,Thermococcus coalescens (euryarchaeotes),thermophile,2.134446,54.276332125525784,2322,8,1763.944013781223,0.5840606524044744
GCF_055392325.1,Acidilobus aceticus (crenarchaeotes),thermophile,1.494469,57.10228850514798,1500,2,1903.964,0.6093777081685454
GCF_055390035.1,Halobacterium rubrum (euryarchaeotes),halophile,2.897195,68.96474003303194,3036,16,1813.2483530961792,0.7490824275683172
GCF_055389685.1,Halorubrum ejinorense (euryarchaeotes),halophile,3.145013,68.40181582715238,3140,21,1877.6805732484077,0.7408783692676084
GCF_055389025.1,Thermococcus marinus (euryarchaeotes),thermophile,2.082156,53.73896096161863,2280,10,1749.2912280701755,0.585478828870843
GCF_055387505.1,Methanobacterium movilense (euryarchaeotes),mesophile,3.209112,33.064816684490914,3171,71,1824.4210028382213,0.34712208204902695
GCF_055386755.1,Thermococcus fumicolans (euryarchaeotes),thermophile,1.961496,55.53664142062998,2163,7,1747.0295885344428,0.6007632545414995
GCF_055386235.1,Methanocaldococcus indicus (euryarchaeotes),thermophile,1.414442,28.220598653037737,1547,21,1764.9877181641887,0.28201203768203204
GCF_055385895.1,Methanosarcina subterranea (euryarchaeotes),mesophile,5.061919,41.180686613120436,4325,222,859.2460115606937,0.4732824797230042
GCF_055384795.1,Thermococcus waiotapuensis (euryarchaeotes),thermophile,1.806822,53.43492607462162,1946,2,1774.792394655704,0.5808872006594634
GCF_055384635.1,Haloarcula argentinensis (euryarchaeotes),halophile,3.087279,62.56276157742789,3174,9,1833.6165721487082,0.674976610402765
GCF_055384425.1,Pyrobaculum organotrophum (crenarchaeotes),thermophile,1.89032,49.48442591730501,2244,15,1593.6751336898396,0.5169187250220628
GCF_055382135.1,Pyrococcus woesei (euryarchaeotes),thermophile,1.856505,40.70885885036669,2000,32,1783.776,0.4236909578185139
GCF_055381995.1,Vulcanisaeta sp. JCM 16159 (crenarchaeotes),thermophile,2.256912,45.34443522831196,2525,6,1692.8570297029703,0.47549617559822516
GCF_055381305.1,Methanobacterium kanagiense (euryarchaeotes),mesophile,2.131673,37.80528251753435,2162,12,851.1720629047179,0.42364976117115793
GCF_055381185.1,Halorubrum yunnanense (euryarchaeotes),halophile,2.832729,68.37823173342737,2847,96,1847.8268352651914,0.7377403304677588
GCF_055380485.1,Methanobacterium flexile (euryarchaeotes),mesophile,2.26439,34.49644275058625,2208,1,1864.9252717391305,0.3690147473884985
GCF_055380345.1,Halorubrum pallidum (euryarchaeotes),halophile,2.55947,66.17272325911225,2553,60,882.3266745005875,0.7808303101010585
GCF_055379965.1,Halostagnicola alkaliphila (euryarchaeotes),halophile,3.320955,60.52668584789617,3348,23,837.7703106332139,0.7127360432966645
GCF_055379715.1,Pyrodictium brockii (crenarchaeotes),thermophile,1.639937,63.56427106651048,1709,4,1813.286717378584,0.6771287728734537
GCF_054506835.1,Methanococcus mangrovi (euryarchaeotes),thermophile,1.728249,33.37609337543375,1825,7,1787.0898630136987,0.33841055094817246
GCF_052057765.1,Methanosarcina mangrovi (euryarchaeotes),mesophile,5.07646,43.32302431221757,4388,72,2023.17935278031,0.46206752524906064
GCF_052056915.1,Methanosarcina sediminis (euryarchaeotes),mesophile,4.146951,46.20737018595108,3550,28,902.2664788732394,0.5474712413293147
GCF_051351675.1,Natronorubrum halobium (euryarchaeotes),halophile,4.803121,63.53269051518794,4736,41,846.2721706081081,0.75016430108042
GCF_051122765.1,Halorubrum sp. AS12 (euryarchaeotes),halophile,2.889578,68.10413146833206,2896,15,864.3011049723757,0.7842501675271789
GCF_051122755.1,Haloarcula sp. NS06 (euryarchaeotes),halophile,3.115374,61.891573852770165,3201,25,859.8300531084036,0.7176377741612336
GCF_050871145.1,Halorubrum ezzemoulense (euryarchaeotes),halophile,3.062742,68.46557757721675,3103,75,862.6232678053497,0.8028172329115031
GCF_050563475.1,Haloferax volcanii (euryarchaeotes),halophile,2.821581,67.04234257318858,2914,8,848.1557995881949,0.7895674043899248
GCF_050496105.1,Pyrococcus woesei (euryarchaeotes),thermophile,1.856505,40.70896657967525,2000,33,1783.4715,0.4227052368104104
GCF_047402955.1,Methanobrevibacter intestini (euryarchaeotes),mesophile,1.995711,30.312104307687836,1815,28,2089.592286501377,0.31000973739102783
GCF_049677355.1,Methanobacterium sp. MBAC-LM (euryarchaeotes),mesophile,3.168381,33.44739789816945,3073,7,819.1864627399935,0.36722173427543475
GCF_049677325.1,Methanosarcina mazei (euryarchaeotes),mesophile,4.221101,41.197782284764095,3625,111,2046.5255172413792,0.4378726221234067
GCF_003383015.2,Haloferax sp. Atlit-48N (euryarchaeotes),halophile,2.806995,66.97963480519203,2913,13,840.3257809818057,0.7885490953523059
GCF_049603855.1,Haloarcula salina (euryarchaeotes),halophile,3.37517,66.53901877535058,3406,15,1866.330299471521,0.721316775087498
GCF_049568665.1,Haladaptatus sp. SPP-AMP-3 (euryarchaeotes),halophile,0.299394,52.403187772634055,284,10,823.1549295774648,0.594086469976772
GCF_049554935.1,Methanocaldococcus indicus (euryarchaeotes),thermophile,1.414293,28.22024856235589,1544,22,1768.2150259067357,0.28493127202520335
GCF_049075655.1,Methanothermococcus jasoni (euryarchaeotes),thermophile,1.662948,31.868705455612563,1690,24,854.3668639053254,0.3409233991360664
GCF_048595605.1,Haloarcula sp. KBTZ06 (euryarchaeotes),halophile,3.101237,63.48282959348157,3181,11,865.3838415592581,0.7444983658296561
GCF_047715405.1,Halosimplex rarum (euryarchaeotes),halophile,4.58589,67.3884022512533,4296,11,925.5556331471136,0.7945925350274259
GCF_047495555.1,Methanobacterium nebraskense (euryarchaeotes),mesophile,2.239949,31.78853625685228,2366,6,1747.8579881656806,0.3266070646133846
GCF_046764245.1,Haloferax sp. YSMS24 (euryarchaeotes),halophile,3.03255,62.372755601721316,3111,6,856.1308261009322,0.7276570245560128
GCF_046764215.1,Haloferax sp. YSSS75 (euryarchaeotes),halophile,3.090934,62.26774819520572,3154,8,860.5967025998732,0.7263206060297931
GCF_046529725.1,Methanosarcina hadiensis (euryarchaeotes),mesophile,4.338376,41.17407066607412,3656,54,2081.9354485776807,0.43615596086198233
GCF_046245145.1,Metallosphaera sp. D4-4 (crenarchaeotes),acidophile,2.171806,46.11291247929143,2345,23,831.8068230277186,0.5172233475291182
GCF_046197875.1,Methanobrevibacter acididurans (euryarchaeotes),mesophile,1.679994,27.46539570974658,1611,19,883.4432029795158,0.28819075563649854
GCF_046197865.1,Methanobrevibacter sp. DSM 116169 (euryarchaeotes),mesophile,1.924084,26.402693437500652,1827,10,943.6617405582923,0.25546642537715986
GCF_044593955.1,Haloferax sp. S1W (euryarchaeotes),halophile,3.102927,62.197434873588705,3167,19,1839.0956741395642,0.6729486892894339
GCF_042851265.1,Sulfurisphaera ohwakuensis (crenarchaeotes),acidophile,2.761125,32.594685137398706,2938,64,807.5541184479238,0.3354424617625637
GCF_041154675.1,Sulfurisphaera javensis (crenarchaeotes),acidophile,2.569661,31.68188333013576,2749,26,1763.4954528919607,0.31960775698557553
GCF_040435975.1,Halobacterium sp. NMX12-1 (euryarchaeotes),halophile,2.614549,67.94422288509413,2828,47,1758.4982319660537,0.7391810558307408
GCF_039641995.1,Geoglobus acetivorans (euryarchaeotes),thermophile,1.903522,46.54246181551881,2184,10,2547.9253663003665,0.48531851266411374
GCF_038747945.1,Sulfolobus tengchongensis (crenarchaeotes),thermophile,2.731149,35.289323284815296,2887,102,1784.2095600969865,0.3616939861430149
GCF_037914945.1,Haloterrigena salinisoli (euryarchaeotes),halophile,3.838124,66.27654552067625,3734,14,862.0666845206213,0.7875863135929289
GCF_037482175.1,Halobacterium salinarum (euryarchaeotes),halophile,1.959251,68.20708525860138,2055,12,868.5936739659368,0.7945696109985966
GCF_037094595.1,Halobacterium salinarum (euryarchaeotes),halophile,1.969683,68.06902430492623,2064,15,868.5431201550388,0.7928461934948356
GCF_036967215.1,Sulfolobus tengchongensis (crenarchaeotes),thermophile,2.744695,34.10444512049609,2737,52,1860.7573986116186,0.3480721856809113
GCF_059089475.1,Thermococcus eurythermalis (euryarchaeotes),thermophile,2.122493,53.46538245355815,2281,11,1779.580447172293,0.5825222125158713
GCF_057773625.1,Halococcus dombrowskii (euryarchaeotes),halophile,2.76757,64.55706630726594,2840,57,1840.9961267605634,0.698920591276367
GCF_056733395.1,Thermococcus kodakarensis (euryarchaeotes),thermophile,2.074938,51.99581867024461,2295,9,829.3808278867102,0.6062253338208778
GCF_056733315.1,Thermococcus kodakarensis (euryarchaeotes),thermophile,2.074546,52.03220367251438,2294,9,829.4721011333914,0.6068195362828844
GCF_055632455.1,Haloarcula sp. MBLA0138 (euryarchaeotes),halophile,2.880172,68.88508741839028,3024,22,1814.228835978836,0.7478795474691002
GCF_055632435.1,Haloarcula sp. MBLA0163 (euryarchaeotes),halophile,3.319941,67.74391472619543,3484,22,855.3837543053961,0.8011947101760758
GCF_054696865.1,Thermofilum pendens (crenarchaeotes),thermophile,1.815852,57.645171522789305,1911,1,1809.930402930403,0.6203073581734063
GCF_054515835.1,Nitrosopumilus sp. S4 (archaea),mesophile,1.701445,33.4072508955623,1994,2,1625.5802407221665,0.337958181084493
GCF_052598275.1,Halococcus saccharolyticus (euryarchaeotes),halophile,3.305981,64.33349132980499,3347,21,1852.8261129369585,0.6906272857800775
GCF_052510705.1,Natrialba aegyptia (euryarchaeotes),halophile,3.303565,63.25257714015011,3213,28,876.4836601307189,0.7400288056725016
GCF_052043925.1,Halococcus morrhuae DSM 1307 (euryarchaeotes),halophile,2.889744,64.48785774795276,2933,102,873.8564609614729,0.7524147408045546
GCF_052043865.1,Halococcus salifodinae (euryarchaeotes),halophile,3.151446,64.97921906324906,3094,58,1906.5627020038785,0.6995317580154717
GCF_030345255.1,Halobacterium salinarum (euryarchaeotes),halophile,1.959163,68.2066270136788,2060,12,867.0383495145632,0.7943862914116406
GCF_034480035.2,Methanosphaera sp. ISO3-F5 (euryarchaeotes),mesophile,2.506044,30.84806172597129,2161,52,986.8644146228598,0.32663496841897954
GCF_036584055.1,Halalkalicoccus salilacus (euryarchaeotes),halophile,3.436347,65.23837668314637,3569,9,812.6861866068926,0.7731919735208936
GCF_036323395.1,Pyrodictium abyssi (crenarchaeotes),thermophile,2.224219,59.17254550923268,2401,4,1710.682632236568,0.6289038020208689
GCF_035666295.1,Haloarcula montana (euryarchaeotes),halophile,2.975322,64.99854469533045,3110,25,1815.7877813504824,0.7000932337777211
GCF_035621495.1,Thermococcus sp. SY098 (euryarchaeotes),thermophile,2.033621,41.65702458816072,2245,5,1741.5073496659243,0.4376136123846611
GCF_035610555.1,Metallosphaera sedula DSM 5348 (crenarchaeotes),acidophile,2.190631,46.22357667722222,2370,17,824.9637130801688,0.522440023629961
GCF_033472595.1,Methanoculleus receptaculi (euryarchaeotes),mesophile,1.980381,59.0942853925583,2033,46,843.7993113625184,0.6741073536535673
GCF_031201105.1,Ferroplasma acidiphilum (archaea),acidophile,1.844541,36.69650064704444,1883,51,859.5900159320233,0.39701777472985744
GCF_031200575.1,Ferroplasma sp. (archaea),acidophile,1.859113,38.689902119989476,1941,71,1824.231324059763,0.40303014384795394
GCF_030734285.1,Natronococcus wangiae (euryarchaeotes),halophile,4.145149,64.85496661278039,4086,29,850.1607929515418,0.772739599202689
GCF_030323845.1,Methanobacterium aridiramus (euryarchaeotes),mesophile,1.983764,44.14794300128443,2127,6,1760.6901739539258,0.4726818592549394
GCF_030296735.1,Methanobacterium petrolearium (euryarchaeotes),mesophile,2.515507,37.80879957797772,2619,16,803.9965635738831,0.42719735983379264
GCF_030296715.1,Methanobacterium ferruginis (euryarchaeotes),mesophile,2.803797,37.387193152713984,2810,17,1824.4982206405693,0.39351422712845147
GCF_030273315.1,Natrialbaceae archaeon AArc-T1-2 (euryarchaeotes),halophile,3.080812,63.970992063131405,3129,41,859.3544263342922,0.7531189403524274
GCF_946300405.1,Thermococcus nautili (euryarchaeotes),thermophile,2.013327,54.59580088083058,2227,9,1737.3875168387965,0.5935106794580836
GCF_030247815.1,Methanosarcina mazei (euryarchaeotes),mesophile,4.0856,41.499926571372626,3452,103,900.9892815758981,0.4771758736773061
GCF_030127105.1,Haloarcula pelagica (euryarchaeotes),halophile,3.529922,66.27078445359416,3693,21,860.670457622529,0.7756751144461749
GCF_029489995.1,Haladaptatus sp. DYSN1 (euryarchaeotes),halophile,3.004792,62.200445155604775,3203,14,839.7180768029972,0.727815323731137
GCF_029338315.1,Haloarcula regularis (euryarchaeotes),halophile,3.502486,66.47880962265089,3732,37,815.9469453376206,0.7765530696805916
GCF_029338295.1,Haladaptatus sp. QDMS2 (euryarchaeotes),halophile,2.952151,62.1371332292962,3161,22,2698.6010756089845,0.6506869717850434
GCF_029338275.1,Haloarcula ordinaria (euryarchaeotes),halophile,3.190156,65.18505678092231,3332,41,839.1119447779112,0.7698967766856947
GCF_029338255.1,Haloarcula halobia (euryarchaeotes),halophile,3.354654,66.52322415366831,3492,30,840.8871706758305,0.7877178876000871
GCF_029338235.1,Haloarcula rara (euryarchaeotes),halophile,3.034613,65.55079675728008,3208,9,1774.1458852867831,0.7120279920805774
GCF_029338215.1,Haladaptatus sp. YSMS36 (euryarchaeotes),halophile,2.938003,62.03986177005265,3135,25,2707.9004784688996,0.6530387302628394
GCF_029338195.1,Haloarcula litorea (euryarchaeotes),halophile,3.304793,68.90095688292732,3500,18,850.3322857142857,0.818211783680258
GCF_029278565.1,Haloarcula halophila (euryarchaeotes),halophile,3.038664,65.52573762679914,3160,27,867.7335443037974,0.7671774976176174
GCF_029232225.1,Haloferax volcanii (euryarchaeotes),halophile,2.845766,66.91273983876398,2982,15,831.2149564050973,0.7869902266331811
GCF_029229925.1,Halorhabdus sp. BNX81 (euryarchaeotes),halophile,2.828981,63.42156416038143,2807,10,888.6775917349484,0.7420436054797288
GCF_029225785.1,Haloferax volcanii (euryarchaeotes),halophile,2.77676,67.04608968726141,2870,16,842.4648083623694,0.7890802971874395
GCF_029207715.1,Halorhabdus sp. SVX81 (euryarchaeotes),halophile,2.923675,63.26134060728364,2868,9,894.6698047419804,0.7379451372504087
GCF_028747785.1,Halosimplex aquaticum (euryarchaeotes),halophile,4.824346,67.24123850155026,4705,67,885.4399574920297,0.7944312420785805
GCF_028743435.1,Methanobrevibacter smithii ATCC 35061 (euryarchaeotes),mesophile,1.85316,31.034233417513867,1768,25,1993.7505656108597,0.32617348905810234
GCF_028472365.1,Sulfolobus acidocaldarius DSM 639 (crenarchaeotes),thermophile,2.22513,36.70891138944691,2321,23,842.2839293408014,0.3932239075323336
GCF_028471865.1,Thermococcus kodakarensis (euryarchaeotes),thermophile,2.078475,51.997450053524815,2300,9,1732.0691304347827,0.5638248202446541
GCF_028471785.1,Thermococcus kodakarensis (euryarchaeotes),thermophile,2.085702,51.98892267447602,2304,9,1735.377170138889,0.5639737208182082
GCF_026248685.1,Haladaptatus caseinilyticus (euryarchaeotes),halophile,2.647751,59.1241019265029,2819,2,826.6601631784321,0.6853527570833993
GCF_026000775.1,Vulcanisaeta souniana JCM 11219 (crenarchaeotes),thermophile,2.432148,45.13430103760133,2601,12,832.082276047674,0.49893264579088176
GCF_025998175.1,Nitrosopumilus zosterae (archaea),mesophile,1.775052,33.91466841534783,2080,5,1610.345673076923,0.33993488609544964
GCF_025914035.1,Methanoculleus submarinus (euryarchaeotes),mesophile,2.462514,62.06856082848666,2453,6,873.0375050958011,0.7311589360834794
GCF_025449255.1,Methanococcus aeolicus (euryarchaeotes),thermophile,1.677738,29.928570491936167,1609,11,1922.1783716594157,0.30469432790940176
GCF_025244945.1,Nitrososphaera viennensis (archaea),mesophile,2.522325,52.688016016968476,2947,23,729.9477434679335,0.608127199117494
GCF_024760425.1,Nitrososphaera viennensis (archaea),mesophile,2.521342,52.69903884518641,2944,22,730.7099184782609,0.6083364594940222
GCF_024730625.1,Haloferax larsenii (euryarchaeotes),halophile,3.048879,62.72935068922053,3122,15,1835.310057655349,0.6771945550207519
GCF_024707485.1,Thermococcus thermotolerans (euryarchaeotes),thermophile,2.070864,53.48777128773305,2287,4,1739.083078268474,0.5774815954622254
GCF_024508235.1,Halococcus qingdaonensis (euryarchaeotes),halophile,2.703393,64.89208191335851,2782,59,1837.951473759885,0.7017642161415597
GCF_024498195.1,Halovivax cerinus (euryarchaeotes),halophile,3.902757,64.95759279914174,3669,19,892.8743526846553,0.7582810961789418
GCF_024300825.1,Natronomonas gomsonensis (euryarchaeotes),halophile,3.544915,63.00399304355676,3737,37,850.7080545892427,0.7387018845133955
GCF_024300625.1,Halovivax gelatinilyticus (euryarchaeotes),halophile,3.70063,63.129683324190744,3501,19,1965.4198800342758,0.6801472944498193
GCF_024298905.1,Natronomonas marina (euryarchaeotes),halophile,3.846278,67.26066082586854,3998,62,851.9239619809905,0.786067048760573
GCF_024218815.1,Haloarcula marina (euryarchaeotes),halophile,3.318558,65.85694750551295,3381,7,880.9417332150251,0.7704729961120848
GCF_024218775.1,Haloarcula marina (euryarchaeotes),halophile,3.357773,65.8018573620075,3485,18,863.5107604017217,0.7701641001408623
GCF_023913515.1,Natronococcus zhouii (euryarchaeotes),halophile,3.971974,64.46079455706408,3925,14,852.3342675159236,0.7663547127578866
GCF_023746595.1,Thermococcus argininiproducens (euryarchaeotes),thermophile,1.946248,39.44230128945541,2079,10,855.4935064935065,0.4276586557275291
GCF_023702125.1,Halorubrum hochsteinianum (euryarchaeotes),halophile,2.962044,69.44724656352167,2946,43,879.3238289205702,0.8244081293261887
GCF_023617305.1,Methanobrevibacter sp. TLL-48-HuF1 (euryarchaeotes),mesophile,1.951395,30.34772560142872,1786,22,988.4647256438969,0.295821990204975
GCF_023169565.1,Metallosphaera sedula (crenarchaeotes),acidophile,2.283739,46.21167305020407,2450,19,831.2714285714286,0.523721071370176
GCF_023093535.1,Halovivax limisalsi (euryarchaeotes),halophile,3.894819,66.83103887497724,3589,13,912.9813318473113,0.7817736186607265
GCF_022870485.1,Halococcus dombrowskii (euryarchaeotes),halophile,2.767537,64.55696888605283,2838,57,1842.15503875969,0.6975718364009353
